,security_type,symbol,name,primary_exchange,currency,sector
sec-s-de3857f812e046d29c006bc83ff69667,exchange_traded_fund,BLDR,Horizons North American Infrastructure Development Index ETF Class A,TSX,CAD,
sec-s-2505ed6548a7449089fcec36882b5101,exchange_traded_fund,XIT,BlackRock Canada iShares S&P/TSX Capped Information Tech Index ETF,TSX,CAD,ETFs
sec-s-2b2f859dbbe14052a1a7a87ac837045d,exchange_traded_fund,CLU,BlackRock iShares US Fundamental Index ETF,AEQUITAS NEO EXCHANGE,CAD,
sec-s-2c1b8d0eaee7470dbcbe791afab9581e,exchange_traded_fund,XFN,BlackRock Canada iShares S&P/TSX Capped Financials Index ETF,TSX,CAD,ETFs
sec-s-068d31d99e1946879f26c27583b27107,exchange_traded_fund,XEH,BlackRock Canada iShares MSCI Europe IMI Index ETF CAD-Hedged,TSX,CAD,ETFs
sec-s-51bd93e98e654db8936af441d54888aa,exchange_traded_fund,HBLK,Blockchain Technologies ETF Class A units,TSX,CAD,ETFs
sec-s-5aa17922aae54319a525cfcd24271545,exchange_traded_fund,CWO,BlackRock iShares Emerging Markets Fundamental Index ETF,AEQUITAS NEO EXCHANGE,CAD,
sec-s-5b82ab21990a4c9499b8984ffccfe479,exchange_traded_fund,XUS,BlackRock Canada iShares Core S&P 500 Index ETF,TSX,CAD,"Fractional Trading, ETFs"
sec-s-3a14f707d5684a299df1427f0d758725,exchange_traded_fund,XEG,BlackRock Canada iShares S&P/TSX Capped Energy Index ETF,TSX,CAD,ETFs
sec-s-3d682bfde04c454d88e4bd4905c3cca4,exchange_traded_fund,CWW,BlackRock iShares Global Water Index ETF,TSX,CAD,ETFs
sec-s-5e64310bf04b4995b82c51e81f73df1d,exchange_traded_fund,XML,BlackRock Canada iShares Edge MSCI Min Vol EAFE Index ETF CAD-Hedged,TSX,CAD,ETFs
sec-s-6229f2c6a14548d0bc22417a2636009c,exchange_traded_fund,XCS,BlackRock Canada iShares S&P/TSX SmallCap Index ETF,TSX,CAD,ETFs
sec-s-33753a89f5494a03af3efbedfa191b6c,exchange_traded_fund,XMC,BlackRock Canada iShares S&P U.S. Mid-Cap Index ETF,TSX,CAD,ETFs
sec-s-4fab8019d32f4aa9ba9a5b259ee765b9,exchange_traded_fund,XMI,BlackRock Canada iShares Edge MSCI Min Vol EAFE Index ETF,TSX,CAD,ETFs
sec-s-5011a40ea31647cea347840a444840ae,exchange_traded_fund,XRB,BlackRock Canada iShares Canadian Real Return Bond Index ETF,TSX,CAD,ETFs
sec-s-430cea0abed04bfab4b0aea7af48b05e,exchange_traded_fund,XUU,BlackRock Canada iShares Core S&P U.S. Total Market Index ETF,TSX,CAD,
sec-s-e675787508df4ed8beef63f0d86b1e98,exchange_traded_fund,CSD,BlackRock iShares Short Duration High Income ETF CAD-Hedged,TSX,CAD,ETFs
sec-s-f53d3b66769945228f1b89406a194aba,exchange_traded_fund,XUH,BlackRock Canada iShares Core S&P US Total Market Indx ETF CAD-Hedgd,TSX,CAD,
sec-s-fa858212fe9f4ea38cf1336f0e998a87,exchange_traded_fund,XLB,BlackRock Canada iShares Core Canadian Long Term Bond Index ETF,TSX,CAD,
sec-s-f00efd87ee46422d9dee55adac163caf,exchange_traded_fund,CPD,BlackRock iShares S&P/TSX Canadian Preferred Share Index ETF,TSX,CAD,ETFs
sec-s-f0b3f72ea14440d6856caeaa61971b42,exchange_traded_fund,XHU,BlackRock Canada iShares U.S. High Dividend Equity Index ETF,TSX,CAD,ETFs
sec-s-d2e33f866bd84dd294dfa4d3c99aa539,exchange_traded_fund,CIF,BlackRock iShares Global Infrastructure Index ETF,TSX,CAD,ETFs
sec-s-d6fc4385e8524e38ad4bab7833346ffb,exchange_traded_fund,XCD,BlackRock Canada iShares S&P Global Cons Disc Indx ETFCAD-Hedged,TSX,CAD,ETFs
sec-s-c51db74d1c4042fba4e4c233d21eff09,exchange_traded_fund,CBO,BlackRock iShares 1-5 Year Laddered Corporate Bond Index ETF,TSX,CAD,ETFs
sec-s-c827a1f63a584686ae2fe8b20e48bf20,exchange_traded_fund,SVR,BlackRock iShares Silver Bullion ETF Hedged,TSX,CAD,ETFs
sec-s-c4c66d2b94b94ca2a0a7e535b3529f69,exchange_traded_fund,XHD,BlackRock Canada iShares US High Div Equity Indx ETFCAD- Hedged,TSX,CAD,ETFs
sec-s-e78831f1c2ba4d37a7d939357c00b18e,exchange_traded_fund,XHY,BlackRock Canada iShares U.S. High Yield Bond Index ETF CAD-Hedged,TSX,CAD,ETFs
sec-s-03cc8c9c24624019b44d8e201d4c1a3b,exchange_traded_fund,CUD,BlackRock iShares US Dividend Growers Index ETF CAD-Hedged,TSX,CAD,ETFs
sec-s-8821913f0a3a4b35b9a53454a656a1b6,exchange_traded_fund,BDOP,Black Diamond Distressed Opportunities Fund ETF,TSX,CAD,
sec-s-7812ff28d13d420ca37b6d23977d15f6,exchange_traded_fund,XMM,BlackRock Canada iShares Edge MSCI Min Vol Emerging Markets Index ETF,TSX,CAD,ETFs
sec-s-7b9f0840196e42f3aaa4ff1d7b1a8f27,exchange_traded_fund,CGL.C,BlackRock iShares Gold Bullion ETF Non-Hedged,TSX,CAD,ETFs
sec-s-7fe961cdca1d423e87369e633ec5154d,exchange_traded_fund,XIU,BlackRock Canada iShares S&P/TSX 60 Index ETF,TSX,CAD,"Fractional Trading, ETFs"
sec-s-12f545df6233414692a09d6c27c2f30d,exchange_traded_fund,ZRE,BMO Equal Weight REITs Index ETF,TSX,CAD,ETFs
sec-s-143ca4a3a663446990d5168250a7d3c3,exchange_traded_fund,ZCLN,BMO Clean Energy Index ETF,TSX,CAD,
sec-s-176a16e3800a4ae5b3d2096ea77aa093,exchange_traded_fund,COMM,BMO Global Communications Index ETF CAD,TSX,CAD,
sec-s-184f617345e94f58a7dfff1c34cb4c45,exchange_traded_fund,ZFC,BMO SIA Focused Canadian Equity Fund,TSX,CAD,
sec-s-2507d477349341bd8b3e565d7a79b418,exchange_traded_fund,ZHU,BMO Equal Weight US Health Care Index ETF,TSX,CAD,
