,security_type,symbol,name,primary_exchange,currency,sector
sec-s-73020eea645540a2835ada8ae1047438,equity,AIML,AI/ML Innovations Inc,CSE,CAD,
sec-s-c48520b8fa5e4964b9d6ccffcbc2f8ae,equity,PAI,Predictiv AI Inc.,TSX-V,CAD,
sec-s-eec5d8c18d1a45caad7969f69e4cc5cb,equity,FOBI,Fobi Ai Inc,TSX-V,CAD,
sec-s-f3f7434af120440da52a9f9c6b5aa5dc,equity,AQUA,Aquarius AI Inc,CSE,CAD,
sec-s-f7f4d7211f084f37bde215ca0cefe3da,equity,DM,DataMetrex AI Ltd,TSX-V,CAD,
sec-s-a02e49f2de2447458458cdc73daa91fa,equity,PINK,Perimeter Medical Imaging AI Inc,TSX-V,CAD,
sec-s-71810496423d48b8b522986d53b76b59,equity,AIR,Clean Air Metals Inc,TSX-V,CAD,
sec-s-ee108f79281c44a7a5a0ce6cbe8dec18,equity,AIM,Aimia Inc,TSX,CAD,"Finance, Retail"
sec-s-49f700a4ddfb4ebfa399b2fff5576502,equity,AION,Aion Therapeutic Inc,CSE,CAD,
sec-s-8ddff0540472483f86da54af45789548,equity,AIS,AIS Resources Ltd.,TSX-V,CAD,
sec-s-d4396ea7d91a412ca298c836e0ebdf0b,equity,AIMF.P,AIM6 Ventures Inc,TSX-V,CAD,
sec-s-52465b79eece438694453bb4c0f2ff73,equity,AIF,Altus Group Ltd.,TSX,CAD,"Consulting, Real Estate, Software, Technology"
sec-s-f7229589cad04ff0a66b8df10154eebe,equity,AII,Almonty Industries Inc,TSX,CAD,"Mining, Materials"
sec-s-31eb5d5716f9483fab895e58b6d22cfd,equity,IQ,"Airiq, Inc",TSX-V,CAD,
sec-s-36318edf37354f8a9a20997d6bf4af1d,equity,JET,Global Crossing Airlines Group Inc,AEQUITAS NEO EXCHANGE,CAD,
sec-s-20db700480a44935b0b469d13b028034,equity,JET.B,Global Crossing Airlines Group Inc.,AEQUITAS NEO EXCHANGE,CAD,
sec-s-1e0754cadf9b447ca6df509b8a5f4ae7,equity,BOS,Airboss Of America Corp.,TSX,CAD,
sec-s-084a85fcb08049849ef849761745e7ca,equity,AJN,AJN Resources Inc,CSE,CAD,
sec-s-6a324e70cae842af8a84eff51301dca8,equity,AKT.A,Akita Drilling Limited,TSX,CAD,"Oil and Gas, Construction"
sec-s-6418eaad1e774e96b00f0a3d52e702bd,equity,AKU,Akumin Inc,TSX,CAD,
sec-s-ce3ff373a2a445c5a57a10496b269e53,equity,AKE,Allkem Ltd,TSX,CAD,
sec-s-b783c61f27c64b5e8a73364dbf7280ca,equity,AKH.H,Alaska Hydro Corp,TSX-V,CAD,
