,security_type,symbol,name,primary_exchange,currency,sector
sec-s-3974099764994ee4805bd81dea1bcd3e,equity,AMWD,American Woodmark Corp.,NASDAQ,USD,"Manufacturing, Construction, Materials"
sec-s-e5c87bc0f173473d92371ebe20868f03,equity,AMKR,AMKOR Technology Inc.,NASDAQ,USD,"Manufacturing, Semiconductors, Engineering, Technology"
sec-s-e5caaf5138be4fa9864e0889c84962ac,equity,AMED,Amedisys Inc.,NASDAQ,USD,Healthcare
sec-s-f4861b36f904440fa73680b294bd7856,equity,AMRN,Amarin Corp,NASDAQ,USD,"Healthcare, Pharmaceuticals, Biotech"
sec-s-cc421eb08654454aafea941bdc8c3c08,equity,AMSC,American Superconductor Corp.,NASDAQ,USD,"Manufacturing, Clean Energy, Machinery, Technology"
sec-s-8632d0b3cded4cf78d9782e12a09b1e0,equity,AMLX,Amylyx Pharmaceuticals Inc,NASDAQ,USD,
sec-s-6fdbb88de5b94ed186632ae1a8854cfe,equity,AMSWA,American Software Inc. (Class A),NASDAQ,USD,"Consulting, Software, Technology"
sec-s-18dc17bb85964a44a5c35937adb9d022,equity,AMPL,Amplitude Inc (Class A),NASDAQ,USD,
sec-s-88930dc2e9314209be62f9326b957ada,equity,AMZN,Amazon.com Inc.,NASDAQ,USD,"Fractional Trading, Mobile, Manufacturing, Apparel and Footwear, Retail, Entertainment and Media, Software, Fashion and Jewelry, Engineering, Internet"
sec-s-dcf48137364f4a3b963a810dd9c1ce49,equity,AMPG,Amplitech Group Inc,NASDAQ,USD,
sec-s-d106db42b7e34326a327fa8bbbddc985,equity,AMRS,Amyris Inc,NASDAQ,USD,"Manufacturing, Materials"
sec-s-49d30074c1064dbeaeb79125c9293e1d,equity,AMGN,AMGEN Inc.,NASDAQ,USD,"Fractional Trading, Manufacturing, Healthcare, Biotech"
sec-s-af80046569b84637bc2b3d50a4a823ca,equity,AMNB,American National Bankshares Inc.,NASDAQ,USD,
sec-s-b73687afb3534f939152c707d8de499e,equity,AMCX,AMC Networks Inc.,NASDAQ,USD,"Telecommunications, Entertainment and Media, Internet"
sec-s-d1299c98ecb1494e9c924e55a00fff86,equity,AMAT,Applied Materials Inc.,NASDAQ,USD,"Fractional Trading, Manufacturing, Machinery, Electronics, Engineering, Technology"
sec-s-6c25436ea0c942d5ac7730f1241d2299,equity,AMOT,Allied Motion Technologies Inc,NASDAQ,USD,"Manufacturing, Electronics, Engineering, Technology"
sec-s-412f6aa6c06d4c13a1e020534bdd84e4,equity,AMD,Advanced Micro Devices Inc.,NASDAQ,USD,"Fractional Trading, Manufacturing, Electronics, Semiconductors, Software, Engineering, Technology"
sec-s-1d935170f0e44b96918c8a64aa468f63,equity,AMRK,A-Mark Precious Metals Inc.,NASDAQ,USD,
sec-s-157e65d10c1d4805892ae875cd9e0421,equity,DOX,Amdocs Ltd,NASDAQ,USD,"Software, Internet, Technology"
sec-s-1dfc9efb74c94da6b9b1b8be540b1b81,equity,UNAM,Unico American Corp.,NASDAQ,USD,
sec-s-09f7207b90734fdba31bd6818f79b058,equity,ASRV,Ameriserv Financial Inc,NASDAQ,USD,
sec-s-3c99b8bde02b4afca6dad68ffbdcec9c,equity,APEI,American Public Education Inc,NASDAQ,USD,Education
sec-s-f5c29f0358d54c1c8121e58433929e93,equity,ATAX,America First Multifamily Investors LP,NASDAQ,USD,Finance
sec-s-f619c770a0c744f095247395edabe5c8,equity,CRMT,"Americas Car Mart, Inc.",NASDAQ,USD,"Retail, Transportation, Automotive"
sec-s-ef3842b7bac1476a84d7e68fbdfeee25,equity,AOUT,American Outdoor Brands Inc.,NASDAQ,USD,
sec-s-d2489f83785847759e653248b5b9c4b8,equity,GABC,German American Bancorp Inc,NASDAQ,USD,"Finance, Banking"
sec-s-d41f7f08ea3e4b65904d8fc5c7af3ad1,equity,ASYS,Amtech Systems Inc.,NASDAQ,USD,"Manufacturing, Machinery, Electronics, Engineering, Technology"
sec-s-aa3c7d71ba2e456988f16dabfe5c6b83,equity,ANAT,American National Group Inc.,NASDAQ,USD,
sec-s-b74a7dcd68e94a26bc0e89d35659e383,equity,AAME,Atlantic American Corporation,NASDAQ,USD,
sec-s-2d34b2b595aa459abfad42158e576683,equity,ANDE,Andersons Inc.,NASDAQ,USD,"Manufacturing, Agriculture, Biotech"
sec-s-87010b6b9ee94163888690d4a20c03b0,equity,ANSS,Ansys Inc.,NASDAQ,USD,"Fractional Trading, Software, Internet, Technology"
sec-s-95c67d1c94084e9badf46b4be4c33df7,equity,ANIK,Anika Therapeutics Inc.,NASDAQ,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-faa3fc016c5842759953e6e84fb7f39e,equity,ANGO,Angiodynamic Inc,NASDAQ,USD,"Manufacturing, Healthcare, Engineering, Technology"
sec-s-42795793af964a518e814bec191fb812,equity,ANIX,Anixa Biosciences Inc,NASDAQ,USD,
sec-s-e58ee46161db42d0a6304c9268df5be0,equity,ANIP,ANI Pharmaceuticals Inc,NASDAQ,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-aa3c7d71ba2e456988f16dabfe5c6b83,equity,ANAT,American National Group Inc.,NASDAQ,USD,
sec-s-aee36cd4dd0e4082baf594627c9a5f99,equity,ANTE,AirNet Technology Inc,NASDAQ,USD,Advertising and Marketing
sec-s-babc49aa88dd4493891c4fdcccb3b0ce,equity,ANY,Sphere 3D Corp,NASDAQ,USD,
sec-s-d513c7e8c8cc40988cf9a4eb1e610a15,equity,VRSK,Verisk Analytics Inc,NASDAQ,USD,"Consulting, Finance, Insurance"
sec-s-d8a47a548f1a4747b5a329b31dd050b0,equity,WOOF,Petco Health and Wellness Co Inc (Class A),NASDAQ,USD,
sec-s-75be2fd68d084ce0bebc3f7748a2d3fd,equity,ISSC,Innovative Solutions And Support Inc,NASDAQ,USD,
sec-s-a4c5b6deb40f4526b56ddb3aa266abd3,equity,CHI,Calamos Convertible Opportunities and Income Fund,NASDAQ,USD,Finance
sec-s-c2b028393c654ca9a4b057ea45eb88f8,equity,GLPI,Gaming and Leisure Properties Inc,NASDAQ,USD,"Real Estate, Finance"
sec-s-dbe6f5ab1dcb43e595559463b340f4c4,equity,ADI,Analog Devices Inc.,NASDAQ,USD,"Manufacturing, Semiconductors, Engineering, Technology"
sec-s-4a2c6897517b4f41ba35797c5ea0dbb2,equity,AVXL,Anavex Life Sciences Corporation,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-271d71084a15409f9b866b1ccdcda075,equity,ATRS,Antares Pharma Inc,NASDAQ,USD,"Manufacturing, Healthcare, Engineering, Technology"
