,security_type,symbol,name,primary_exchange,currency,sector
sec-s-40a417a11cf14739935154d0ef5a52f5,equity,ALB,Albemarle Corp.,NYSE,USD,"Manufacturing, Materials"
sec-s-d7bfbe725cbb4d8ca1ac098376a80d51,equity,ALV,Autoliv Inc.,NYSE,USD,"Manufacturing, Automotive"
sec-s-1176f14d578d46ec88c2f976e337314d,equity,BAH,Booz Allen Hamilton Holding Corp.,NYSE,USD,"Consulting, Finance"
sec-s-1762d103afe043fc969ae66ae5c49874,equity,AA,Alcoa Corp,NYSE,USD,"Manufacturing, Materials"
sec-s-46f884a32e4e4b4392080b2b900ee72d,equity,AB,AllianceBernstein Holding Lp,NYSE,USD,Finance
sec-s-4edc17b994bf4b4a928fa2eb0e1bd1b5,equity,RS,Reliance Steel & Aluminum Co.,NYSE,USD,"Manufacturing, Mining, Engineering, Materials"
sec-s-363ea9896a94419dac3af335fbdaa095,equity,ARE,Alexandria Real Estate Equities Inc.,NYSE,USD,"Fractional Trading, Real Estate, Finance"
sec-s-e5915e6148064f788a385e31037b77ee,equity,AYX,Alteryx Inc (Class A),NYSE,USD,"Software, Internet, Technology"
sec-s-d0f081babc654e49b856e1dd9e1d1aee,equity,ACI,Albertsons Companies Inc.,NYSE,USD,
sec-s-8926775bec5046ab92fe8b1113f636cb,equity,NIE,Virtus AllianzGI Equity & Convertible Income Fund,NYSE,USD,
sec-s-7741fb4a45c74268b18e77d2140b464f,equity,Y,Alleghany Corp.,NYSE,USD,"Fractional Trading, Finance, Insurance"
sec-s-7c797f10dd3946c5801b7deeb014411c,equity,ETD,"Ethan Allen Interiors, Inc.",NYSE,USD,"Manufacturing, Consumer Products"
sec-s-b9fc37058ec94cb7ae0bc503e112138f,equity,AM,Antero Midstream Corporation,NYSE,USD,
sec-s-1e43e21d29e04daf85b799527f91f8e1,equity,AMPE,Ampio Pharmaceuticals Inc,NYSE,USD,"Healthcare, Pharmaceuticals, Biotech"
sec-s-62ff85d3a3754a1d9b63b14cf45f2bec,equity,AME,Ametek Inc,NYSE,USD,"Manufacturing, Machinery, Aerospace and Defence, Electronics, Engineering"
sec-s-daafe6af67984d06847ccfd5414dd486,equity,AMBO,Ambow Education Holding,NYSE,USD,"Education, Technology"
sec-s-e23ca3b99e25499c8f843ead846c8069,equity,AMP,Ameriprise Financial Inc,NYSE,USD,"Fractional Trading, Finance"
sec-s-fbc80215f6f64303aede2da872684c61,equity,AMX,America Movil S.A.B.DE C.V. (Series L),NYSE,USD,"Telecommunications, Mobile, Internet, Technology"
sec-s-c84353d7fc734a70a3682ad6f1dff124,equity,AMWL,American Well Corporation (Class A),NYSE,USD,
sec-s-d8a048f8d3df4afd99d8cf28211496ab,equity,AMRX,Amneal Pharmaceuticals Inc (Class A),NYSE,USD,
sec-s-79d4562b662d499cb7682a8da9a54eba,equity,AMCR,Amcor PLC,NYSE,USD,
sec-s-ed288462d4f346689486e22dba07552a,equity,AMBC,AMBAC Financial Group Inc.,NYSE,USD,
sec-s-ad69b0323518407bbb8d25c5ab45c707,equity,AMS,American Shared Hospital Services,NYSE,USD,Healthcare
sec-s-9c386c596cf246e487dcb20323d2ea70,equity,AMPY,Amplify Energy Corp.,NYSE,USD,
sec-s-bd3750e1acba49459dd5b718ba477d19,equity,AMRC,Ameresco Inc. (Class A),NYSE,USD,"Manufacturing, Clean Energy, Consulting, Construction, Engineering"
sec-s-1a66ba43d2c84dbf83d750be3e9d4369,equity,AMC,AMC Entertainment Holdings Inc.,NYSE,USD,Entertainment and Media
sec-s-d69713ad131f4c0c91e9294ea09d5911,equity,AMN,AMN Healthcare Services Inc.,NYSE,USD,"Consulting, Healthcare"
sec-s-f81d7d10c49f4f3fac778e929a726663,equity,AMG,Affiliated Managers Group Inc.,NYSE,USD,Finance
